Provider,claim_count,Amt Paid_total,Units Paid_total
HEPHZIBAH EYECARE LTD - VICTORIA ISLAND,40,187200.0,22.0
ChildKid Children Hospital,40,55529.5,27.0
St Williams Hospital Ltd,40,202938.9,402.0
STARCARE HOSPITAL,40,266683.2,133.0
ZOPUTA CLINIC AND MATERNITY,40,365283.69,229.0
HEPHZIBAH EYECARE LTD - LEKKI,39,278250.0,61.0
RAYBIRTH HOSPITAL AND ALLIED SERVICES,38,44831.84,126.0
Tent Of Life Specialist Clinic,38,954500.0,19.0
STANDARD LIFE CARE HOSPITAL,38,287290.0,71.0
X SERVE CLINIC SURULERE,38,286680.5,21.0
Niger Hospital,37,46519.5,245.0
