Provider,claim_count,Amt Paid_total,Units Paid_total
VATICAN BELLS PHARMACY ISOLO,1,500.0,30
Afrimed Ogp Specialist,1,0.0,1
BELVISION EYE CARE- AJAO ESTATE,1,50000.0,10
TOPTEE MEDICAL CENTRE,1,3000.0,1
HANWILL PHARMACY AND STORES LIMITED,1,3500.0,1
PRISMS HEALTHCARE LIMITED,1,5791.5,1
PURE FITNESS AFRICA,1,3000.0,1
FOUNTAIN MEDS PHARMACY LEKKI,1,7500.0,1
TRANQUIL & QUEST MEDICAL AND DIAGNOSTICS LTD,1,87975.0,1
Equity Specialist Clinics and Diagnostics Center,1,0.0,1
Renaissance Medical                                         ,1,25000.0,1
SAFECARE CLINIX,1,20000.0,1
INSIGHT PLUS HEALTHCARE LTD,1,10010.0,1
INTERNATIONAL CLAIMS,1,80000.0,1
HIGHCARE PHARMACY LTD UYO,1,4500.0,3
El Lab Medical Diagnostics,1,85654.8,1
Detwist Dental Specialist,1,80000.0,1
E-CLINICS and DIAGNOSTIC LTD ABUJA,1,60000.0,1
MARIE STOPES MEDICAL CENTRE LEKKI,1,3000.0,1
NEW HAVEN HOSPITAL AND DIALYSIS CENTRE,1,40000.0,1
